Age Group, Age first heard, Percent Count
18-24,0,0.083738067
18-24,1,1.239323396
18-24,2,0.887623514
18-24,3,1.440294758
18-24,4,0.921118741
18-24,5,1.122090102
18-24,6,0.887623514
18-24,7,1.071847262
18-24,8,1.892480322
18-24,9,1.122090102
18-24,10,3.533746441
18-24,11,1.7417518
18-24,12,4.270641434
18-24,13,4.237146207
18-24,14,5.442974376
18-24,15,9.830849104
18-24,16,10.26628705
18-24,17,10.68497739
18-24,18,11.13716295
18-24,19,8.139340144
18-24,20,7.5866689
18-24,21,5.375983922
18-24,22,4.153408139
18-24,23,2.445151566
18-24,24,0.48568079
18-24,25,0.0
18-24,26,0.0
18-24,27,0.0
18-24,28,0.0
18-24,29,0.0
18-24,30,0.0
18-24,31,0.0
18-24,32,0.0
18-24,33,0.0
18-24,34,0.0
18-24,35,0.0
18-24,36,0.0
18-24,37,0.0
18-24,38,0.0
18-24,39,0.0
18-24,40,0.0
18-24,41,0.0
18-24,42,0.0
18-24,43,0.0
18-24,44,0.0
18-24,45,0.0
18-24,46,0.0
18-24,47,0.0
18-24,48,0.0
18-24,49,0.0
18-24,50,0.0
18-24,51,0.0
18-24,52,0.0
18-24,53,0.0
18-24,54,0.0
18-24,55,0.0
18-24,56,0.0
18-24,57,0.0
18-24,58,0.0
18-24,59,0.0
18-24,60,0.0
18-24,61,0.0
18-24,62,0.0
18-24,63,0.0
18-24,64,0.0
18-24,65,0.0
18-24,66,0.0
18-24,67,0.0
18-24,68,0.0
18-24,69,0.0
18-24,70,0.0
18-24,71,0.0
18-24,72,0.0
18-24,73,0.0
18-24,74,0.0
18-24,75,0.0
18-24,76,0.0
18-24,77,0.0
18-24,78,0.0
18-24,79,0.0
18-24,80,0.0
18-24,81,0.0
18-24,82,0.0
18-24,83,0.0
25-34,0,0.074105441
25-34,1,0.942197756
25-34,2,0.783400381
25-34,3,0.952784247
25-34,4,0.476392124
25-34,5,1.598560237
25-34,6,1.079822147
25-34,7,0.963370739
25-34,8,1.61973322
25-34,9,1.10099513
25-34,10,3.207706966
25-34,11,1.238619521
25-34,12,4.054626297
25-34,13,3.377090832
25-34,14,4.20283718
25-34,15,7.463476604
25-34,16,6.701249206
25-34,17,5.452043193
25-34,18,6.415413932
25-34,19,3.482955748
25-34,20,6.563624815
25-34,21,3.123015033
25-34,22,4.552191404
25-34,23,4.298115604
25-34,24,4.626296845
25-34,25,4.996824053
25-34,26,3.408850307
25-34,27,2.964217658
25-34,28,2.816006775
25-34,29,2.022019903
25-34,30,2.180817277
25-34,31,1.206860047
25-34,32,1.090408639
25-34,33,0.730467923
25-34,34,0.232902816
25-34,35,0.0
25-34,36,0.0
25-34,37,0.0
25-34,38,0.0
25-34,39,0.0
25-34,40,0.0
25-34,41,0.0
25-34,42,0.0
25-34,43,0.0
25-34,44,0.0
25-34,45,0.0
25-34,46,0.0
25-34,47,0.0
25-34,48,0.0
25-34,49,0.0
25-34,50,0.0
25-34,51,0.0
25-34,52,0.0
25-34,53,0.0
25-34,54,0.0
25-34,55,0.0
25-34,56,0.0
25-34,57,0.0
25-34,58,0.0
25-34,59,0.0
25-34,60,0.0
25-34,61,0.0
25-34,62,0.0
25-34,63,0.0
25-34,64,0.0
25-34,65,0.0
25-34,66,0.0
25-34,67,0.0
25-34,68,0.0
25-34,69,0.0
25-34,70,0.0
25-34,71,0.0
25-34,72,0.0
25-34,73,0.0
25-34,74,0.0
25-34,75,0.0
25-34,76,0.0
25-34,77,0.0
25-34,78,0.0
25-34,79,0.0
25-34,80,0.0
25-34,81,0.0
25-34,82,0.0
25-34,83,0.0
35-44,0,0.0
35-44,1,0.668370356
35-44,2,0.275211323
35-44,3,0.825633969
35-44,4,0.570080598
35-44,5,1.002555534
35-44,6,0.688028307
35-44,7,1.297424808
35-44,8,1.690583841
35-44,9,1.19913505
35-44,10,3.83330057
35-44,11,1.218793002
35-44,12,3.892274425
35-44,13,3.145272263
35-44,14,4.934145862
35-44,15,7.509337527
35-44,16,6.82130922
35-44,17,5.464910556
35-44,18,6.487124042
35-44,19,2.339296245
35-44,20,6.211912719
35-44,21,2.005111067
35-44,22,2.575191665
35-44,23,2.044426971
35-44,24,1.494004325
35-44,25,4.658934539
35-44,26,1.454688421
35-44,27,0.96323963
35-44,28,1.749557696
35-44,29,0.923923727
35-44,30,3.400825634
35-44,31,0.629054453
35-44,32,1.572636131
35-44,33,1.965795164
35-44,34,1.946137213
35-44,35,2.75211323
35-44,36,1.631609986
35-44,37,1.710241793
35-44,38,1.769215648
35-44,39,1.376056615
35-44,40,1.376056615
35-44,41,0.845291921
35-44,42,0.511106743
35-44,43,0.373501081
35-44,44,0.196579516
35-44,45,0.0
35-44,46,0.0
35-44,47,0.0
35-44,48,0.0
35-44,49,0.0
35-44,50,0.0
35-44,51,0.0
35-44,52,0.0
35-44,53,0.0
