Genre,Age first heard,Percent count
Blues,<26,16.92215743
Blues,26-35,30.51141479
Blues,36-45,52.56642778
Blues,46-55,0
Blues,56-65,0
Blues,>65,0
Country,<26,3.918384931
Country,26-35,5.359171869
Country,36-45,6.691290458
Country,46-55,10.65747445
Country,56-65,15.65734274
Country,>65,57.71633555
Dance,<26,40.32152725
Dance,26-35,25.93255264
Dance,36-45,17.26660431
Dance,46-55,5.175070103
Dance,56-65,11.3042457
Dance,>65,0
Easy Listening,<26,1.716558455
Easy Listening,26-35,2.990978451
Easy Listening,36-45,4.498582846
Easy Listening,46-55,10.51346227
Easy Listening,56-65,24.18475913
Easy Listening,>65,56.09565885
Indie & Alternative,<26,24.10535818
Indie & Alternative,26-35,20.72524052
Indie & Alternative,36-45,12.28475353
Indie & Alternative,46-55,8.917908173
Indie & Alternative,56-65,3.302321905
Indie & Alternative,>65,30.66441769
Jazz,<26,4.091492073
Jazz,26-35,6.71430377
Jazz,36-45,9.53051059
Jazz,46-55,19.76252495
Jazz,56-65,28.57342221
Jazz,>65,31.32774641
Metal,<26,26.73703095
Metal,26-35,27.90186061
Metal,36-45,23.60028634
Metal,46-55,13.33628113
Metal,56-65,5.073856171
Metal,>65,3.350684803
Pop,<26,15.03549088
Pop,26-35,15.41740207
Pop,36-45,15.62703345
Pop,46-55,14.01453141
Pop,56-65,13.3691254
Pop,>65,26.5364168
Rap & Hip Hop,<26,44.82545259
Rap & Hip Hop,26-35,31.38290851
Rap & Hip Hop,36-45,11.37464824
Rap & Hip Hop,46-55,10.39431575
Rap & Hip Hop,56-65,2.022674908
Rap & Hip Hop,>65,0
Rock,<26,11.12364482
Rock,26-35,13.0614123
Rock,36-45,17.34001931
Rock,46-55,19.77907916
Rock,56-65,18.56196448
Rock,>65,20.13387994
Soul/RnB/Funk,<26,14.62151082
Soul/RnB/Funk,26-35,14.58064751
Soul/RnB/Funk,36-45,15.15079813
Soul/RnB/Funk,46-55,17.71799698
Soul/RnB/Funk,56-65,15.58276138
Soul/RnB/Funk,>65,22.34628519
World,<26,26.90830289
World,26-35,23.32995196
World,36-45,17.87443644
World,46-55,18.07108546
World,56-65,13.81622324
World,>65,0
