Genre,Age first heard,Percent count
Blues,0-4,0.0
Blues,5-9,0.030303030303
Blues,10-14,0.121212121212
Blues,15-19,0.242424242424
Blues,20-24,0.30303030303
Blues,25-29,0.121212121212
Blues,30-34,0.0909090909091
Blues,35-39,0.030303030303
Blues,40-44,0.030303030303
Blues,45-49,0.030303030303
Blues,50-54,0.0
Blues,55-59,0.0
Blues,60-64,0.0
Blues,65-69,0.0
Blues,70-74,0.0
Blues,75-79,0.0
Bollywood,0-4,0.027
Bollywood,5-9,0.0810810810811027027027
Bollywood,10-14,0.121621621622
Bollywood,15-19,0.189189189189
Bollywood,20-24,0.324324324324
Bollywood,25-29,0.121621621622
Bollywood,30-34,0.0675675675676
Bollywood,35-39,0.0405405405405
Bollywood,40-44,0.027027027027
Bollywood,45-49,0.0
Bollywood,50-54,0.0
Bollywood,55-59,0.0
Bollywood,60-64,0.0
Bollywood,65-69,0.0
Bollywood,70-74,0.0
Bollywood,75-79,0.0
Classical,0-4,0.007
Classical,5-9,0.099236641221463358778626
Classical,10-14,0.152671755725
Classical,15-19,0.206106870229
Classical,20-24,0.198473282443
Classical,25-29,0.114503816794
Classical,30-34,0.0687022900763
Classical,35-39,0.0610687022901
Classical,40-44,0.0610687022901
Classical,45-49,0.0
Classical,50-54,0.00763358778626
Classical,55-59,0.0229007633588
Classical,60-64,0.0
Classical,65-69,0.0
Classical,70-74,0.0
Classical,75-79,0.0
Country,0-4,0.00817438692098
Country,5-9,0.0408719346049
Country,10-14,0.122615803815
Country,15-19,0.212534059946
Country,20-24,0.185286103542
Country,25-29,0.144414168937
Country,30-34,0.117166212534
Country,35-39,0.0490463215259
Country,40-44,0.0626702997275
Country,45-49,0.0299727520436
Country,50-54,0.0136239782016
Country,55-59,0.0108991825613
Country,60-64,0.00272479564033
Country,65-69,0.0
Country,70-74,0.0
Country,75-79,0.0
Dance,0-4,0.0425531914894
Dance,5-9,0.0505319148936
Dance,10-14,0.0505319148936
Dance,15-19,0.242021276596
Dance,20-24,0.285904255319
Dance,25-29,0.168882978723
Dance,30-34,0.0784574468085
Dance,35-39,0.0492021276596
Dance,40-44,0.0199468085106
Dance,45-49,0.00797872340426
Dance,50-54,0.00265957446809
Dance,55-59,0.0
Dance,60-64,0.00132978723404
Dance,65-69,0.0
Dance,70-74,0.0
Dance,75-79,0.0
Easy Listening,0-4,0.00709219858156
Easy Listening,5-9,0.113475177305
Easy Listening,10-14,0.156028368794
Easy Listening,15-19,0.241134751773
Easy Listening,20-24,0.205673758865
Easy Listening,25-29,0.156028368794
Easy Listening,30-34,0.0496453900709
Easy Listening,35-39,0.0283687943262
