Country,Age First Heard a Song,Normalized Count
Bulgaria,0,0
Bulgaria,1,0.964187328
Bulgaria,2,0.275482094
Bulgaria,3,0.41322314
Bulgaria,4,0.550964187
Bulgaria,5,1.101928375
Bulgaria,6,0.550964187
Bulgaria,7,0.964187328
Bulgaria,8,1.515151515
Bulgaria,9,0.826446281
Bulgaria,10,3.443526171
Bulgaria,11,1.377410468
Bulgaria,12,4.269972452
Bulgaria,13,3.443526171
Bulgaria,14,7.024793388
Bulgaria,15,7.988980716
Bulgaria,16,7.162534435
Bulgaria,17,6.887052342
Bulgaria,18,7.851239669
Bulgaria,19,3.443526171
Bulgaria,20,6.060606061
Bulgaria,21,1.928374656
Bulgaria,22,3.305785124
Bulgaria,23,2.341597796
Bulgaria,24,3.03030303
Bulgaria,25,5.371900826
Bulgaria,26,2.892561983
Bulgaria,27,1.377410468
Bulgaria,28,1.790633609
Bulgaria,29,0.550964187
Bulgaria,30,2.066115702
Bulgaria,31,0.41322314
Bulgaria,32,1.239669421
Bulgaria,33,1.515151515
Bulgaria,34,1.515151515
Bulgaria,35,0.964187328
Bulgaria,36,0.137741047
Bulgaria,37,0.137741047
Bulgaria,38,0.41322314
Bulgaria,39,0.41322314
Bulgaria,40,0.826446281
Bulgaria,41,0
Bulgaria,42,0.275482094
Bulgaria,43,0.137741047
Bulgaria,44,0.137741047
Bulgaria,45,0.41322314
Bulgaria,46,0.137741047
Bulgaria,47,0
Bulgaria,48,0.137741047
Bulgaria,49,0
Bulgaria,50,0
Bulgaria,51,0.275482094
Bulgaria,52,0.137741047
Bulgaria,53,0
Bulgaria,54,0
Bulgaria,55,0
Bulgaria,56,0
Bulgaria,57,0
Bulgaria,58,0
Bulgaria,59,0
Bulgaria,60,0
Bulgaria,61,0
Bulgaria,62,0
Bulgaria,63,0
Bulgaria,64,0
Bulgaria,65,0
Bulgaria,66,0
Bulgaria,67,0
Bulgaria,68,0
Bulgaria,69,0
Bulgaria,70,0
Bulgaria,71,0
Bulgaria,72,0
Bulgaria,73,0
Bulgaria,74,0
Bulgaria,75,0
Bulgaria,76,0
Bulgaria,77,0
Bulgaria,78,0
Bulgaria,79,0
Bulgaria,80,0
Canada,0,0
Canada,1,0.297619048
Canada,2,0.297619048
Canada,3,0.654761905
Canada,4,0.535714286
Canada,5,1.845238095
Canada,6,1.488095238
Canada,7,1.071428571
Canada,8,2.44047619
Canada,9,1.19047619
Canada,10,4.285714286
Canada,11,1.428571429
Canada,12,4.226190476
Canada,13,3.869047619
Canada,14,4.345238095
Canada,15,7.261904762
Canada,16,6.785714286
Canada,17,5.119047619
Canada,18,5.595238095
Canada,19,3.928571429
Canada,20,5.654761905
Canada,21,2.142857143
Canada,22,2.44047619
Canada,23,2.678571429
Canada,24,2.023809524
Canada,25,4.047619048
Canada,26,2.261904762
Canada,27,1.369047619
Canada,28,1.964285714
Canada,29,1.30952381
Canada,30,3.571428571
Canada,31,1.25
Canada,32,0.535714286
Canada,33,0.952380952
Canada,34,0.654761905
Canada,35,1.428571429
Canada,36,0.416666667
Canada,37,0.714285714
Canada,38,0.654761905
Canada,39,1.071428571
Canada,40,2.083333333
Canada,41,0.178571429
Canada,42,0.595238095
Canada,43,0.714285714
Canada,44,0.05952381
Canada,45,0.654761905
Canada,46,0.05952381
Canada,47,0.178571429
Canada,48,0.119047619
Canada,49,0.238095238
Canada,50,0.297619048
Canada,51,0
Canada,52,0.119047619
Canada,53,0
Canada,54,0.05952381
Canada,55,0.297619048
Canada,56,0
Canada,57,0.416666667
Canada,58,0
Canada,59,0
Canada,60,0
Canada,61,0
Canada,62,0.119047619
Canada,63,0
Canada,64,0
Canada,65,0
Canada,66,0
Canada,67,0
Canada,68,0
Canada,69,0
Canada,70,0
Canada,71,0
Canada,72,0
Canada,73,0
Canada,74,0
Canada,75,0
Canada,76,0
Canada,77,0
Canada,78,0
Canada,79,0
Canada,80,0
Germany,0,0
Germany,1,0.748502994
Germany,2,0
Germany,3,0.299401198
Germany,4,0.299401198
Germany,5,0.748502994
Germany,6,1.347305389
Germany,7,0.748502994
Germany,8,0.898203593
Germany,9,0.449101796
Germany,10,2.395209581
Germany,11,1.347305389
Germany,12,3.143712575
Germany,13,1.946107784
Germany,14,3.592814371
Germany,15,6.586826347
Germany,16,7.48502994
Germany,17,5.838323353
Germany,18,7.185628743
Germany,19,3.293413174
Germany,20,6.437125749
Germany,21,3.293413174
Germany,22,3.592814371
Germany,23,2.994011976
Germany,24,2.694610778
Germany,25,5.538922156
Germany,26,2.694610778
Germany,27,1.047904192
Germany,28,2.994011976
Germany,29,2.395209581
Germany,30,2.095808383
Germany,31,0.748502994
Germany,32,0.299401198
Germany,33,1.19760479
Germany,34,0.598802395
Germany,35,1.646706587
Germany,36,0.149700599
Germany,37,0
Germany,38,0.598802395
Germany,39,0.149700599
Germany,40,0.299401198
Germany,41,0.449101796
Germany,42,0.598802395
