Song Name,Date,Daily Downloads
Barbria Streisand,10-10-13,4
Barbria Streisand,10-10-14,45
Barbria Streisand,10-10-15,38
Barbria Streisand,10-10-16,65
Barbria Streisand,10-10-17,88
Barbria Streisand,10-10-18,74
Barbria Streisand,10-10-19,24
Barbria Streisand,10-10-20,29
Barbria Streisand,10-10-21,17
Barbria Streisand,10-10-22,19
Barbria Streisand,10-10-23,23
Barbria Streisand,10-10-24,12
Barbria Streisand,10-10-25,42
Barbria Streisand,10-10-26,63
Barbria Streisand,10-10-27,45
Barbria Streisand,10-10-28,46
Barbria Streisand,10-10-29,36
Barbria Streisand,10-10-30,44
Barbria Streisand,10-10-31,42
Barbria Streisand,10-11-01,43
Barbria Streisand,10-11-02,50
Barbria Streisand,10-11-03,68
Barbria Streisand,10-11-04,136
Barbria Streisand,10-11-05,133
Barbria Streisand,10-11-06,192
Barbria Streisand,10-11-07,121
Barbria Streisand,10-11-08,144
Barbria Streisand,10-11-09,111
Barbria Streisand,10-11-10,129
Barbria Streisand,10-11-11,127
Barbria Streisand,10-11-12,103
Barbria Streisand,10-11-13,104
Barbria Streisand,10-11-14,98
Barbria Streisand,10-11-15,100
Barbria Streisand,10-11-16,171
Barbria Streisand,10-11-17,118
Barbria Streisand,10-11-18,93
Barbria Streisand,10-11-19,77
Barbria Streisand,10-11-20,115
Barbria Streisand,10-11-21,115
Barbria Streisand,10-11-22,76
Barbria Streisand,10-11-23,39
Barbria Streisand,10-11-24,26
Barbria Streisand,10-11-25,44
Barbria Streisand,10-11-26,33
Barbria Streisand,10-11-27,41
Barbria Streisand,10-11-28,43
Barbria Streisand,10-11-29,44
Barbria Streisand,10-11-30,29
Barbria Streisand,10-12-01,33
Barbria Streisand,10-12-02,31
Barbria Streisand,10-12-03,21
Barbria Streisand,10-12-04,20
Barbria Streisand,10-12-05,28
Barbria Streisand,10-12-06,19
Barbria Streisand,10-12-07,16
Barbria Streisand,10-12-08,22
Barbria Streisand,10-12-09,17
Barbria Streisand,10-12-10,18
Barbria Streisand,10-12-11,30
Barbria Streisand,10-12-12,30
Barbria Streisand,10-12-13,23
Barbria Streisand,10-12-14,15
Barbria Streisand,10-12-15,15
Barbria Streisand,10-12-16,19
Barbria Streisand,10-12-17,25
Barbria Streisand,10-12-18,23
Barbria Streisand,10-12-19,21
Barbria Streisand,10-12-20,20
Barbria Streisand,10-12-21,12
Barbria Streisand,10-12-22,18
Barbria Streisand,10-12-23,15
Barbria Streisand,10-12-24,11
Barbria Streisand,10-12-25,34
Barbria Streisand,10-12-26,25
Barbria Streisand,10-12-27,25
Barbria Streisand,10-12-28,20
Barbria Streisand,10-12-29,19
Barbria Streisand,10-12-30,26
Barbria Streisand,10-12-31,19
Barbria Streisand,11-01-01,15
Barbria Streisand,11-01-02,23
Barbria Streisand,11-01-03,13
Barbria Streisand,11-01-04,20
Barbria Streisand,11-01-05,17
Barbria Streisand,11-01-06,10
Barbria Streisand,11-01-07,21
Barbria Streisand,11-01-08,36
Barbria Streisand,11-01-09,21
Barbria Streisand,11-01-10,13
Barbria Streisand,11-01-11,20
Barbria Streisand,11-01-12,9
Barbria Streisand,11-01-13,10
Barbria Streisand,11-01-14,11
Barbria Streisand,11-01-15,20
Barbria Streisand,11-01-16,14
Barbria Streisand,11-01-17,7
Barbria Streisand,11-01-18,9
Barbria Streisand,11-01-19,5
Barbria Streisand,11-01-20,5
Barbria Streisand,11-01-21,2
Barbria Streisand,11-01-22,7
Barbria Streisand,11-01-23,7
Barbria Streisand,11-01-24,2
Barbria Streisand,11-01-25,1
Barbria Streisand,11-01-26,4
Barbria Streisand,11-01-27,4
Barbria Streisand,11-01-28,1
Barbria Streisand,11-01-29,1
Barbria Streisand,11-01-30,4
Barbria Streisand,11-01-31,4
Barbria Streisand,11-02-01,3
Barbria Streisand,11-02-02,1
Barbria Streisand,11-02-04,3
Barbria Streisand,11-02-05,2
Barbria Streisand,11-02-06,4
Barbria Streisand,11-02-07,2
Barbria Streisand,11-02-08,5
Barbria Streisand,11-02-10,5
Barbria Streisand,11-02-11,1
Barbria Streisand,11-02-12,4
Barbria Streisand,11-02-13,3
Barbria Streisand,11-02-14,1
Barbria Streisand,11-02-15,2
Barbria Streisand,11-02-17,5
Barbria Streisand,11-02-18,2
Barbria Streisand,11-02-19,2
Barbria Streisand,11-02-20,1
Barbria Streisand,11-02-23,1
Barbria Streisand,11-02-24,1
Barbria Streisand,11-02-26,2
Barbria Streisand,11-02-27,1
Barbria Streisand,11-03-03,1
Barbria Streisand,11-03-04,1
Barbria Streisand,11-03-05,4
Barbria Streisand,11-03-08,2
Barbria Streisand,11-03-10,1
Barbria Streisand,11-03-11,1
Barbria Streisand,11-03-16,1
Barbria Streisand,11-03-19,1
Barbria Streisand,11-03-22,1
Barbria Streisand,11-03-24,1
Barbria Streisand,11-03-26,1
Barbria Streisand,11-03-29,1
Barbria Streisand,11-04-02,1
Barbria Streisand,11-04-07,1
Barbria Streisand,11-04-09,1
Barbria Streisand,11-04-12,1
Barbria Streisand,11-04-13,1
Barbria Streisand,11-04-14,1
Barbria Streisand,11-04-17,3
Barbria Streisand,11-04-19,2
Barbria Streisand,11-04-20,1
Barbria Streisand,11-04-21,2
Barbria Streisand,11-04-22,2
Barbria Streisand,11-04-24,1
Barbria Streisand,11-04-26,1
Barbria Streisand,11-04-29,2
Barbria Streisand,11-05-01,1
Barbria Streisand,11-05-02,1
Barbria Streisand,11-05-04,2
Barbria Streisand,11-05-06,1
Barbria Streisand,11-05-07,1
Barbria Streisand,11-05-08,1
Barbria Streisand,11-05-09,3
Barbria Streisand,11-05-10,1
Barbria Streisand,11-05-12,2
Barbria Streisand,11-05-13,2
Barbria Streisand,11-05-14,1
Barbria Streisand,11-05-15,1
Barbria Streisand,11-05-16,1
Barbria Streisand,11-05-17,1
Barbria Streisand,11-05-19,1
Barbria Streisand,11-05-20,1
Barbria Streisand,11-05-22,1
Barbria Streisand,11-05-24,2
Barbria Streisand,11-05-25,2
Barbria Streisand,11-05-26,3
Barbria Streisand,11-05-29,3
Barbria Streisand,11-05-30,2
Barbria Streisand,11-06-08,1
Barbria Streisand,11-06-11,1
Barbria Streisand,11-06-12,1
Barbria Streisand,11-06-15,1
Barbria Streisand,11-06-17,2
Barbria Streisand,11-06-22,1
Barbria Streisand,11-07-15,1
Barbria Streisand,11-07-18,1
Barbria Streisand,11-07-28,1
Barbria Streisand,11-08-02,1
Barbria Streisand,11-08-03,1
Barbria Streisand,11-08-18,1
