Genre,Age first heard,Percent Count
Country,18-20 ,1.540492958
Country,21-25,1.871042026
Country,26-30,2.626908058
Country,31-35,2.039045553
Country,36-40,2.857142857
Country,41-45,2.968617472
Country,46-50,3.432137285
Country,51-55,5.846774194
Country,56-60,5.384615385
Country,61-65,8.24742268
Country,66-70,2.631578947
Country,71-75,14.28571429
Country,76-80,33.33333333
Dance,18-20 ,8.670774648
Dance,21-25,6.476683938
Dance,26-30,4.18885339
Dance,31-35,5.553145336
Dance,36-40,3.857142857
Dance,41-45,2.629346904
Dance,46-50,0.936037441
Dance,51-55,1.008064516
Dance,56-60,1.153846154
Dance,61-65,3.092783505
Dance,66-70,0
Dance,71-75,0
Dance,76-80,0
Easy Listening,18-20 ,0.264084507
Easy Listening,21-25,0.575705239
Easy Listening,26-30,0.638977636
Easy Listening,31-35,0.824295011
Easy Listening,36-40,0.928571429
Easy Listening,41-45,1.272264631
Easy Listening,46-50,1.716068643
Easy Listening,51-55,3.427419355
Easy Listening,56-60,4.615384615
Easy Listening,61-65,7.216494845
Easy Listening,66-70,13.15789474
Easy Listening,71-75,14.28571429
Easy Listening,76-80,0
Indie & Alternative,18-20 ,5.501760563
Indie & Alternative,21-25,5.728267127
Indie & Alternative,26-30,5.360312389
Indie & Alternative,31-35,4.295010846
Indie & Alternative,36-40,3.857142857
Indie & Alternative,41-45,1.865988126
Indie & Alternative,46-50,2.340093604
Indie & Alternative,51-55,1.814516129
Indie & Alternative,56-60,1.538461538
Indie & Alternative,61-65,0
Indie & Alternative,66-70,0
Indie & Alternative,71-75,14.28571429
Indie & Alternative,76-80,0
Jazz,18-20 ,0.48415493
Jazz,21-25,0.546919977
Jazz,26-30,0.780972666
Jazz,31-35,0.911062907
Jazz,36-40,1.214285714
Jazz,41-45,1.187446989
Jazz,46-50,2.964118565
Jazz,51-55,2.016129032
Jazz,56-60,3.076923077
Jazz,61-65,4.12371134
Jazz,66-70,7.894736842
Jazz,71-75,0
Jazz,76-80,0
Metal,18-20 ,10.60739437
Metal,21-25,10.39147956
Metal,26-30,11.11111111
Metal,31-35,10.80260304
Metal,36-40,9.714285714
Metal,41-45,8.821034775
Metal,46-50,6.24024961
Metal,51-55,4.233870968
Metal,56-60,1.923076923
Metal,61-65,2.06185567
Metal,66-70,2.631578947
Metal,71-75,0
Metal,76-80,0
Pop,18-20 ,27.77288732
Pop,21-25,27.89291883
Pop,26-30,28.57649982
Pop,31-35,28.5032538
Pop,36-40,29.35714286
Pop,41-45,28.49872774
Pop,46-50,25.27301092
Pop,51-55,26.61290323
Pop,56-60,22.69230769
Pop,61-65,26.80412371
Pop,66-70,31.57894737
Pop,71-75,0
Pop,76-80,66.66666667
Rap & Hip Hop,18-20 ,8.670774648
Rap & Hip Hop,21-25,8.376511226
Rap & Hip Hop,26-30,6.425275115
Rap & Hip Hop,31-35,5.509761388
Rap & Hip Hop,36-40,2.714285714
Rap & Hip Hop,41-45,1.611535199
Rap & Hip Hop,46-50,2.340093604
Rap & Hip Hop,51-55,1.612903226
Rap & Hip Hop,56-60,0.769230769
Rap & Hip Hop,61-65,0
Rap & Hip Hop,66-70,0
Rap & Hip Hop,71-75,0
Rap & Hip Hop,76-80,0
Rock,18-20 ,20.7306338
Rock,21-25,21.84801382
Rock,26-30,23.7486688
Rock,31-35,26.2472885
Rock,36-40,31.42857143
Rock,41-45,34.94486853
Rock,46-50,36.19344774
Rock,51-55,39.51612903
Rock,56-60,41.15384615
Rock,61-65,29.89690722
Rock,66-70,34.21052632
Rock,71-75,42.85714286
Rock,76-80,0
Soul / RnB / Funk,18-20 ,5.853873239
Soul / RnB / Funk,21-25,6.937248129
Soul / RnB / Funk,26-30,6.247781328
Soul / RnB / Funk,31-35,6.507592191
Soul / RnB / Funk,36-40,6.214285714
Soul / RnB / Funk,41-45,7.039864292
Soul / RnB / Funk,46-50,9.048361934
Soul / RnB / Funk,51-55,6.451612903
Soul / RnB / Funk,56-60,5.384615385
Soul / RnB / Funk,61-65,8.24742268
Soul / RnB / Funk,66-70,5.263157895
Soul / RnB / Funk,71-75,14.28571429
Soul / RnB / Funk,76-80,0
World,18-20 ,3.653169014
World,21-25,3.598157743
World,26-30,3.727369542
World,31-35,2.559652928
World,36-40,2.357142857
World,41-45,2.45971162
World,46-50,2.652106084
World,51-55,2.217741935
World,56-60,2.692307692
World,61-65,1.030927835
World,66-70,0
World,71-75,0
World,76-80,0
