Genre,Age first heard,Percent Count
Blues,18-20,1.32042254
Blues,21-25,1.15141048
Blues,26-30,1.4199503
Blues,31-35,3.03687636
Blues,36-40,4.28571429
Blues,41-45,3.39270568
Blues,46-50,0
Blues,51-55,0
Blues,56-60,0
Blues,61-65,0
Blues,66-70,0
Blues,71-75,0
Blues,76-80,0
Bollywood,18-20 ,6.60211268
Bollywood,21-25,5.75705239
Bollywood,26-30,6.38977636
Bollywood,31-35,5.63991323
Bollywood,36-40,3.57142857
Bollywood,41-45,4.2408821
Bollywood,46-50,0
Bollywood,51-55,2.01612903
Bollywood,56-60,0
Bollywood,61-65,0
Bollywood,66-70,0
Bollywood,71-75,0
Bollywood,76-80,0
Classical,18-20 ,6.60211268
Classical,21-25,6.90846287
Classical,26-30,10.29463969
Classical,31-35,8.24295011
Classical,36-40,7.14285714
Classical,41-45,14.41899915
Classical,46-50,12.48049922
Classical,51-55,12.09677419
Classical,56-60,23.07692308
Classical,61-65,41.2371134
Classical,66-70,26.31578947
Classical,71-75,0
Classical,76-80,0
Country,18-20 ,15.40492958
Country,21-25,18.71042026
Country,26-30,26.26908058
Country,31-35,20.39045553
Country,36-40,28.57142857
Country,41-45,29.68617472
Country,46-50,34.32137285
Country,51-55,58.46774194
Country,56-60,53.84615385
Country,61-65,82.4742268
Country,66-70,26.31578947
Country,71-75,142.8571429
Country,76-80,333.3333333
Dance,18-20 ,86.70774648
Dance,21-25,64.76683938
Dance,26-30,41.8885339
Dance,31-35,55.53145336
Dance,36-40,38.57142857
Dance,41-45,26.29346904
Dance,46-50,9.36037441
Dance,51-55,10.08064516
Dance,56-60,11.53846154
Dance,61-65,30.92783505
Dance,66-70,0
Dance,71-75,0
Dance,76-80,0
Easy.Listening,18-20 ,2.64084507
Easy.Listening,21-25,5.75705239
Easy.Listening,26-30,6.38977636
Easy.Listening,31-35,8.24295011
Easy.Listening,36-40,9.28571429
Easy.Listening,41-45,12.72264631
Easy.Listening,46-50,17.16068643
Easy.Listening,51-55,34.27419355
Easy.Listening,56-60,46.15384615
Easy.Listening,61-65,72.16494845
Easy.Listening,66-70,131.5789474
Easy.Listening,71-75,142.8571429
Easy.Listening,76-80,0
Electronica,18-20 ,14.52464789
Electronica,21-25,9.78698906
Electronica,26-30,9.22967696
Electronica,31-35,14.31670282
Electronica,36-40,10
Electronica,41-45,9.32994063
Electronica,46-50,7.80031201
Electronica,51-55,2.01612903
Electronica,56-60,3.84615385
Electronica,61-65,0
Electronica,66-70,0
Electronica,71-75,0
Electronica,76-80,0
Folk...Roots,18-20 ,7.92253521
Folk...Roots,21-25,9.49913644
Folk...Roots,26-30,9.93965211
Folk...Roots,31-35,15.18438178
Folk...Roots,36-40,10
Folk...Roots,41-45,12.72264631
Folk...Roots,46-50,20.28081123
Folk...Roots,51-55,20.16129032
Folk...Roots,56-60,34.61538462
Folk...Roots,61-65,30.92783505
Folk...Roots,66-70,0
Folk...Roots,71-75,0
Folk...Roots,76-80,0
Indie...Alternative,18-20 ,55.01760563
Indie...Alternative,21-25,57.28267127
Indie...Alternative,26-30,53.60312389
Indie...Alternative,31-35,42.95010846
Indie...Alternative,36-40,38.57142857
Indie...Alternative,41-45,18.65988126
Indie...Alternative,46-50,23.40093604
Indie...Alternative,51-55,18.14516129
Indie...Alternative,56-60,15.38461538
Indie...Alternative,61-65,0
Indie...Alternative,66-70,0
Indie...Alternative,71-75,142.8571429
Indie...Alternative,76-80,0
Jazz,18-20 ,4.8415493
Jazz,21-25,5.46919977
Jazz,26-30,7.80972666
Jazz,31-35,9.11062907
Jazz,36-40,12.14285714
Jazz,41-45,11.87446989
Jazz,46-50,29.64118565
Jazz,51-55,20.16129032
Jazz,56-60,30.76923077
Jazz,61-65,41.2371134
Jazz,66-70,78.94736842
Jazz,71-75,0
Jazz,76-80,0
Kids...Novelty,18-20 ,2.64084507
Kids...Novelty,21-25,1.4392631
Kids...Novelty,26-30,1.4199503
Kids...Novelty,31-35,2.1691974
Kids...Novelty,36-40,1.42857143
Kids...Novelty,41-45,3.39270568
Kids...Novelty,46-50,3.1201248
Kids...Novelty,51-55,0
Kids...Novelty,56-60,3.84615385
Kids...Novelty,61-65,0
Kids...Novelty,66-70,0
Kids...Novelty,71-75,0
Kids...Novelty,76-80,0
Metal,18-20 ,106.0739437
Metal,21-25,103.9147956
Metal,26-30,111.1111111
Metal,31-35,108.0260304
