Genre,Country,Percent
Pop,NO,41.6133948
Rock,NO,18.5648975
Soul/R 'n' B/Funk,NO,12.8709352
Rap/Hip Hop,NO,7.5002556
Indie/Alternative,NO,4.5858428
Metal,NO,4.4052134
Dance,NO,3.9115257
Country and Western,NO,3.4543534
Jazz,NO,1.6485469
Electronica,NO,1.4450346
Spoken Word,NO,0.0
Khaleeji,NO,0.0
Devotional,NO,0.0
Latin Music,NO,0.0
Reggae,NO,0.0
Ghazal,NO,0.0
Shanson,NO,0.0
Christian/Gospel,NO,0.0
Afrikaans,NO,0.0
Bollywood,NO,0.0
Nederlandstalig,NO,0.0
French Variety,NO,0.0
Easy Listening/Oldies,NO,0.0
Hindustani Classical,NO,0.0
Mandarin Pop,NO,0.0
Schlager,NO,0.0
Oriental Pop,NO,0.0
Italiana,NO,0.0
Cantonese Pop,NO,0.0
Classical,NO,0.0
World,NO,0.0
Folk/Roots,NO,0.0
Flamenco,NO,0.0
Soundtracks/Musicals/Theatre,NO,0.0
Pop,AT,36.8195005
Rock,AT,25.8694126
Metal,AT,5.8099174
Soul/R 'n' B/Funk,AT,5.2668418
Dance,AT,4.880789
Jazz,AT,4.5123121
Rap/Hip Hop,AT,4.4142891
Schlager,AT,4.3556765
Classical,AT,4.290715
Indie/Alternative,AT,3.7805461
Spoken Word,AT,0.0
Electronica,AT,0.0
Khaleeji,AT,0.0
Devotional,AT,0.0
Latin Music,AT,0.0
Reggae,AT,0.0
Ghazal,AT,0.0
Shanson,AT,0.0
Christian/Gospel,AT,0.0
Country and Western,AT,0.0
Afrikaans,AT,0.0
Bollywood,AT,0.0
Nederlandstalig,AT,0.0
French Variety,AT,0.0
Easy Listening/Oldies,AT,0.0
Hindustani Classical,AT,0.0
Mandarin Pop,AT,0.0
Oriental Pop,AT,0.0
Italiana,AT,0.0
Cantonese Pop,AT,0.0
World,AT,0.0
Folk/Roots,AT,0.0
Flamenco,AT,0.0
Soundtracks/Musicals/Theatre,AT,0.0
Pop,CH,35.8575351
Rock,CH,25.2865675
Rap/Hip Hop,CH,7.8111252
Metal,CH,6.4601405
Dance,CH,5.7572625
Soul/R 'n' B/Funk,CH,5.275786
Indie/Alternative,CH,4.1529166
Jazz,CH,3.9354021
Classical,CH,3.2984067
Reggae,CH,2.1648579
Spoken Word,CH,0.0
Electronica,CH,0.0
Khaleeji,CH,0.0
Devotional,CH,0.0
Latin Music,CH,0.0
Ghazal,CH,0.0
Shanson,CH,0.0
Christian/Gospel,CH,0.0
Country and Western,CH,0.0
Afrikaans,CH,0.0
Bollywood,CH,0.0
Nederlandstalig,CH,0.0
French Variety,CH,0.0
Easy Listening/Oldies,CH,0.0
Hindustani Classical,CH,0.0
Mandarin Pop,CH,0.0
Schlager,CH,0.0
Oriental Pop,CH,0.0
Italiana,CH,0.0
Cantonese Pop,CH,0.0
World,CH,0.0
Folk/Roots,CH,0.0
Flamenco,CH,0.0
Soundtracks/Musicals/Theatre,CH,0.0
Pop,DE,36.3410701
Rock,DE,25.5169188
Metal,DE,7.0081857
Rap/Hip Hop,DE,5.5656385
Dance,DE,5.5443906
Soul/R 'n' B/Funk,DE,4.867234
Indie/Alternative,DE,4.223712
Classical,DE,3.9305832
Jazz,DE,3.603692
Spoken Word,DE,3.3985752
Electronica,DE,0.0
Khaleeji,DE,0.0
Devotional,DE,0.0
Latin Music,DE,0.0
Reggae,DE,0.0
Ghazal,DE,0.0
Shanson,DE,0.0
Christian/Gospel,DE,0.0
Country and Western,DE,0.0
Afrikaans,DE,0.0
Bollywood,DE,0.0
Nederlandstalig,DE,0.0
French Variety,DE,0.0
Easy Listening/Oldies,DE,0.0
Hindustani Classical,DE,0.0
Mandarin Pop,DE,0.0
Schlager,DE,0.0
Oriental Pop,DE,0.0
Italiana,DE,0.0
Cantonese Pop,DE,0.0
World,DE,0.0
Folk/Roots,DE,0.0
Flamenco,DE,0.0
Soundtracks/Musicals/Theatre,DE,0.0
Pop,NL,33.3525051
