Country,Weekday,% Downloads
Singapore,Monday,0.135407382
Singapore,Tuesday,0.125990196
Singapore,Wednesday,0.121929603
Singapore,Thursday,0.12288446
Singapore,Friday,0.128344408
Singapore,Saturday,0.177392067
Singapore,Sunday,0.188051885
Malaysia,Monday,0.126036769
Malaysia,Tuesday,0.133993148
Malaysia,Wednesday,0.130679777
Malaysia,Thursday,0.156511203
Malaysia,Friday,0.164354992
Malaysia,Saturday,0.15181458
Malaysia,Sunday,0.136609532
Indonesia,Monday,0.141201469
Indonesia,Tuesday,0.141354018
Indonesia,Wednesday,0.139613781
Indonesia,Thursday,0.137997935
Indonesia,Friday,0.141465413
Indonesia,Saturday,0.145849733
Indonesia,Sunday,0.15251765
