Country, Age first heard, Percent count
BGR,0-4,0.0123966942149
BGR,5-9,0.0358126721763
BGR,10-14,0.114325068871
BGR,15-19,0.325068870523
BGR,20-24,0.225895316804
BGR,25-29,0.150137741047
BGR,30-34,0.0606060606061
BGR,35-39,0.0426997245179
BGR,40-44,0.0192837465565
BGR,45-49,0.00826446280992
BGR,50-54,0.00550964187328
BGR,55-59,0.0
BGR,60-64,0.0
BGR,65-69,0.0
CAN,0-4,0.00595238095238
CAN,5-9,0.0559523809524
CAN,10-14,0.135714285714
CAN,15-19,0.27380952381
CAN,20-24,0.197619047619
CAN,25-29,0.12380952381
CAN,30-34,0.0863095238095
CAN,35-39,0.0416666666667
CAN,40-44,0.0458333333333
CAN,45-49,0.0166666666667
CAN,50-54,0.0077380952381
CAN,55-59,0.0077380952381
CAN,60-64,0.00119047619048
CAN,65-69,0.0
DEU,0-4,0.008038585209
DEU,5-9,0.0369774919614
DEU,10-14,0.088424437299
DEU,15-19,0.273311897106
DEU,20-24,0.255627009646
DEU,25-29,0.16077170418
DEU,30-34,0.0916398713826
DEU,35-39,0.0385852090032
DEU,40-44,0.0225080385852
DEU,45-49,0.0096463022508
DEU,50-54,0.0064308681672
DEU,55-59,0.0032154340836
DEU,60-64,0.0032154340836
DEU,65-69,0.0016077170418
ESP,0-4,0.0149082568807
ESP,5-9,0.0435779816514
ESP,10-14,0.113532110092
ESP,15-19,0.33371559633
ESP,20-24,0.253440366972
ESP,25-29,0.133027522936
ESP,30-34,0.0607798165138
ESP,35-39,0.0252293577982
ESP,40-44,0.0114678899083
ESP,45-49,0.00688073394495
ESP,50-54,0.00229357798165
ESP,55-59,0.0
ESP,60-64,0.00114678899083
ESP,65-69,0.0
GBR,0-4,0.00588235294118
GBR,5-9,0.0483660130719
GBR,10-14,0.10522875817
GBR,15-19,0.290849673203
GBR,20-24,0.227450980392
GBR,25-29,0.124836601307
GBR,30-34,0.0830065359477
GBR,35-39,0.0490196078431
GBR,40-44,0.0313725490196
GBR,45-49,0.021568627451
GBR,50-54,0.0078431372549
GBR,55-59,0.00261437908497
GBR,60-64,0.000653594771242
GBR,65-69,0.00130718954248
IDN,0-4,0.0305444887118
IDN,5-9,0.0478087649402
IDN,10-14,0.0597609561753
IDN,15-19,0.31208499336
IDN,20-24,0.28818061089
IDN,25-29,0.152722443559
IDN,30-34,0.074369189907
IDN,35-39,0.0225763612218
IDN,40-44,0.00929614873838
IDN,45-49,0.0
IDN,50-54,0.00265604249668
IDN,55-59,0.0
IDN,60-64,0.0
IDN,65-69,0.0
ITA,0-4,0.0227272727273
ITA,5-9,0.0440340909091
ITA,10-14,0.0809659090909
ITA,15-19,0.355113636364
ITA,20-24,0.284090909091
ITA,25-29,0.0923295454545
ITA,30-34,0.0681818181818
ITA,35-39,0.0298295454545
ITA,40-44,0.00852272727273
ITA,45-49,0.00710227272727
ITA,50-54,0.00426136363636
ITA,55-59,0.0
ITA,60-64,0.00284090909091
ITA,65-69,0.0
PHL,0-4,0.00234375
PHL,5-9,0.03125
PHL,10-14,0.109375
PHL,15-19,0.29375
PHL,20-24,0.2921875
PHL,25-29,0.1328125
PHL,30-34,0.0765625
PHL,35-39,0.028125
PHL,40-44,0.01640625
PHL,45-49,0.01171875
PHL,50-54,0.003125
PHL,55-59,0.00234375
PHL,60-64,0.0
PHL,65-69,0.0
ROU,0-4,0.0331541218638
ROU,5-9,0.0412186379928
ROU,10-14,0.0851254480287
ROU,15-19,0.295698924731
ROU,20-24,0.267025089606
ROU,25-29,0.136200716846
ROU,30-34,0.0707885304659
ROU,35-39,0.0241935483871
ROU,40-44,0.0206093189964
ROU,45-49,0.0170250896057
ROU,50-54,0.00537634408602
ROU,55-59,0.00268817204301
ROU,60-64,0.00089605734767
ROU,65-69,0.0
USA,0-4,0.00724637681159
USA,5-9,0.0702341137124
USA,10-14,0.151616499443
USA,15-19,0.282887402453
USA,20-24,0.196767001115
USA,25-29,0.102564102564
USA,30-34,0.0766443701226
USA,35-39,0.0409698996656
USA,40-44,0.0326086956522
USA,45-49,0.0186733556299
USA,50-54,0.0142140468227
USA,55-59,0.00334448160535
USA,60-64,0.00139353400223
USA,65-69,0.000836120401338
