Region,Day of Week,% Downloads 
America,Monday,13.3994017
America,Tuesday,13.6170404
America,Wednesday,13.4693492
America,Thursday,13.8945745
America,Friday,13.5516334
America,Saturday,15.762926
America,Sunday,16.3050748
Europe,Monday,12.9934004
Europe,Tuesday,12.9693574
Europe,Wednesday,13.1369317
Europe,Thursday,13.6647485
Europe,Friday,14.2596805
Europe,Saturday,16.2792379
Europe,Sunday,16.6966435
Middle East,Monday,13.549621
Middle East,Tuesday,13.2331174
Middle East,Wednesday,13.2502
Middle East,Thursday,14.3065067
Middle East,Friday,14.9952319
Middle East,Saturday,15.3440084
Middle East,Sunday,15.3213147
India,Monday,13.9762801
India,Tuesday,13.7638573
India,Wednesday,13.7118367
India,Thursday,13.4657966
India,Friday,14.1526583
India,Saturday,15.1145564
India,Sunday,15.8150145
China,Monday,14.156706
China,Tuesday,13.8464064
China,Wednesday,13.6264032
China,Thursday,13.5886433
China,Friday,13.8382158
China,Saturday,15.2444858
China,Sunday,15.6991394
SE Asia,Monday,13.4215206
SE Asia,Tuesday,13.3779121
SE Asia,Wednesday,13.0741054
SE Asia,Thursday,13.9131199
SE Asia,Friday,14.4721604
SE Asia,Saturday,15.8352127
SE Asia,Sunday,15.9059689
