Genre,Country,Percent
Afrikaans,AE,0
Bollywood,AE,3.4624366
Cantonese Pop,AE,0
Christian/Gospel,AE,0
Classical,AE,0
Country and Western,AE,0
Dance,AE,2.9166945
Devotional,AE,0
Easy Listening/Oldies,AE,0
Electronica,AE,0
Flamenco,AE,0
Folk/Roots,AE,0
Ghazal,AE,0
Hindustani Classical,AE,0
Indie/Alternative,AE,0
Italiana,AE,0
Jazz,AE,0
Khaleeji,AE,5.8798953
Latin Music,AE,0
Mandarin Pop,AE,0
Metal,AE,2.6361013
Nederlandstalig,AE,0
Oriental Pop,AE,12.7124475
Pop,AE,38.9478301
Rap/Hip Hop,AE,5.7717842
Reggae,AE,0
Rock,AE,9.8911282
Schlager,AE,0
Shanson,AE,0
Soul/R 'n' B/Funk,AE,6.165848
Soundtracks/Musicals/Theatre,AE,0
Spoken Word,AE,0
French Variety,AE,0
World,AE,11.6158345
Afrikaans,AR,0
Bollywood,AR,0
Cantonese Pop,AR,0
Christian/Gospel,AR,0
Classical,AR,0
Country and Western,AR,0
Dance,AR,2.1505625
Devotional,AR,0
Easy Listening/Oldies,AR,0
Electronica,AR,0
Flamenco,AR,0
Folk/Roots,AR,0
Ghazal,AR,0
Hindustani Classical,AR,0
Indie/Alternative,AR,2.9489403
Italiana,AR,0
Jazz,AR,1.4447937
Khaleeji,AR,0
Latin Music,AR,22.1467288
Mandarin Pop,AR,0
Metal,AR,7.1017984
Nederlandstalig,AR,0
Oriental Pop,AR,0
Pop,AR,30.6111043
Rap/Hip Hop,AR,5.2780235
Reggae,AR,0
Rock,AR,22.9254763
Schlager,AR,0
Shanson,AR,0
Soul/R 'n' B/Funk,AR,2.9738824
Soundtracks/Musicals/Theatre,AR,0
Spoken Word,AR,0
French Variety,AR,0
World,AR,2.4186899
Afrikaans,AT,0
Bollywood,AT,0
Cantonese Pop,AT,0
Christian/Gospel,AT,0
Classical,AT,4.290715
Country and Western,AT,0
Dance,AT,4.880789
Devotional,AT,0
Easy Listening/Oldies,AT,0
Electronica,AT,0
Flamenco,AT,0
Folk/Roots,AT,0
Ghazal,AT,0
Hindustani Classical,AT,0
Indie/Alternative,AT,3.7805461
Italiana,AT,0
Jazz,AT,4.5123121
Khaleeji,AT,0
Latin Music,AT,0
Mandarin Pop,AT,0
Metal,AT,5.8099174
Nederlandstalig,AT,0
Oriental Pop,AT,0
Pop,AT,36.8195005
Rap/Hip Hop,AT,4.4142891
Reggae,AT,0
Rock,AT,25.8694126
Schlager,AT,4.3556765
Shanson,AT,0
Soul/R 'n' B/Funk,AT,5.2668418
Soundtracks/Musicals/Theatre,AT,0
Spoken Word,AT,0
French Variety,AT,0
World,AT,0
Afrikaans,AU,0
Bollywood,AU,0
Cantonese Pop,AU,0
Christian/Gospel,AU,0
Classical,AU,0
Country and Western,AU,2.6290386
Dance,AU,4.8287439
Devotional,AU,0
Easy Listening/Oldies,AU,0
Electronica,AU,2.1133936
Flamenco,AU,0
Folk/Roots,AU,0
Ghazal,AU,0
Hindustani Classical,AU,0
Indie/Alternative,AU,8.2178203
Italiana,AU,0
Jazz,AU,2.97902
Khaleeji,AU,0
Latin Music,AU,0
Mandarin Pop,AU,0
Metal,AU,5.9413284
Nederlandstalig,AU,0
Oriental Pop,AU,0
Pop,AU,28.7828267
Rap/Hip Hop,AU,5.9276535
Reggae,AU,0
Rock,AU,31.2376196
Schlager,AU,0
Shanson,AU,0
Soul/R 'n' B/Funk,AU,7.3425555
Soundtracks/Musicals/Theatre,AU,0
Spoken Word,AU,0
French Variety,AU,0
World,AU,0
Afrikaans,BR,0
Bollywood,BR,0
Cantonese Pop,BR,0
Christian/Gospel,BR,0
Classical,BR,2.9871496
Country and Western,BR,2.8781432
Dance,BR,2.7412902
Devotional,BR,0
Easy Listening/Oldies,BR,0
Electronica,BR,0
Flamenco,BR,0
Folk/Roots,BR,0
Ghazal,BR,0
Hindustani Classical,BR,0
Indie/Alternative,BR,2.9637853
Italiana,BR,0
Jazz,BR,3.4589974
Khaleeji,BR,0
Latin Music,BR,16.982454
Mandarin Pop,BR,0
Metal,BR,6.0406885
Nederlandstalig,BR,0
Oriental Pop,BR,0
Pop,BR,26.1172953
Rap/Hip Hop,BR,0
Reggae,BR,0
Rock,BR,29.8838675
Schlager,BR,0
Shanson,BR,0
Soul/R 'n' B/Funk,BR,5.9463289
Soundtracks/Musicals/Theatre,BR,0
Spoken Word,BR,0
French Variety,BR,0
World,BR,0
Afrikaans,CH,0
Bollywood,CH,0
Cantonese Pop,CH,0
Christian/Gospel,CH,0
Classical,CH,3.2984067
Country and Western,CH,0
Dance,CH,5.7572625
Devotional,CH,0
Easy Listening/Oldies,CH,0
Electronica,CH,0
Flamenco,CH,0
Folk/Roots,CH,0
Ghazal,CH,0
Hindustani Classical,CH,0
Indie/Alternative,CH,4.1529166
Italiana,CH,0
Jazz,CH,3.9354021
Khaleeji,CH,0
Latin Music,CH,0
Mandarin Pop,CH,0
Metal,CH,6.4601405
Nederlandstalig,CH,0
Oriental Pop,CH,0
Pop,CH,35.8575351
Rap/Hip Hop,CH,7.8111252
Reggae,CH,2.1648579
Rock,CH,25.2865675
Schlager,CH,0
Shanson,CH,0
Soul/R 'n' B/Funk,CH,5.275786
Soundtracks/Musicals/Theatre,CH,0
Spoken Word,CH,0
French Variety,CH,0
World,CH,0
Afrikaans,CL,0
Bollywood,CL,0
Cantonese Pop,CL,0
Christian/Gospel,CL,0
Classical,CL,0
Country and Western,CL,0
Dance,CL,2.1505625
Devotional,CL,0
Easy Listening/Oldies,CL,0
Electronica,CL,0
Flamenco,CL,0
Folk/Roots,CL,0
Ghazal,CL,0
Hindustani Classical,CL,0
Indie/Alternative,CL,2.9489403
Italiana,CL,0
Jazz,CL,1.4447937
Khaleeji,CL,0
Latin Music,CL,22.1467288
Mandarin Pop,CL,0
Metal,CL,7.1017984
Nederlandstalig,CL,0
Oriental Pop,CL,0
Pop,CL,30.6111043
Rap/Hip Hop,CL,5.2780235
Reggae,CL,0
Rock,CL,22.9254763
Schlager,CL,0
Shanson,CL,0
Soul/R 'n' B/Funk,CL,2.9738824
Soundtracks/Musicals/Theatre,CL,0
Spoken Word,CL,0
French Variety,CL,0
World,CL,2.4186899
Afrikaans,CN,0
Bollywood,CN,0
Cantonese Pop,CN,10.7421825
Christian/Gospel,CN,0
Classical,CN,0.9491722
Country and Western,CN,1.1151709
Dance,CN,0.9973002
Devotional,CN,0
Easy Listening/Oldies,CN,0
Electronica,CN,0
Flamenco,CN,0
Folk/Roots,CN,0
Ghazal,CN,0
Hindustani Classical,CN,0
Indie/Alternative,CN,0
Italiana,CN,0
Jazz,CN,0
Khaleeji,CN,0
Latin Music,CN,0
Mandarin Pop,CN,60.905395
Metal,CN,0.6532709
Nederlandstalig,CN,0
Oriental Pop,CN,0
Pop,CN,19.6124481
Rap/Hip Hop,CN,0
Reggae,CN,0
Rock,CN,2.196645
Schlager,CN,0
Shanson,CN,0
Soul/R 'n' B/Funk,CN,2.0539831
Soundtracks/Musicals/Theatre,CN,0.7744321
Spoken Word,CN,0
French Variety,CN,0
World,CN,0
